楓之谷 附加屬性 (輪迴星火) 機率與屬性種類設定,,,,,,,,
,,,,,,,,
【附加屬性等級設定機率】,,,,,,,,
類別,等級1,等級2,等級3,等級4,等級5,,,
覺醒的輪迴星火 Awake,97.36%,1.50%,0.58%,0.33%,0.23%,,,
覺醒的暗黑輪迴星火 awake_black,0.00%,85.00%,13.00%,1.50%,0.50%,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
註：[覺醒的輪迴星火、覺醒的暗黑輪迴星火] 會從決定的等級 +2進行計算，作為 3~7 等級。,,,,,,,,
,,,,,,,,
【附加屬性數量設定機率】,,,,,,,,
類別,1個,2個,3個,4個,,,,
所有裝備,0.00%,0.00%,0.00%,100.00%,,,,
,,,,,,,,
【各裝備類別屬性種類 (皆採均等機率套用)】,,,,,,,,
裝備類別,"可出現之附加屬性種類 * 可賦予於各道具的附加屬性如下表，全數皆採均等機率套用。
",,,,,,,
武器,STR/DEX/INT/LUK/STR+DEX/STR+INT/STR+LUK/DEX+INT/DEX+LUK/INT+LUK/最大 HP/最大 MP/穿戴等級減少/防禦力/攻擊力/魔力/攻擊BOSS怪物時傷害%/傷害%/全屬性%,,,,,,,
其他裝備 (防具/飾品),STR/DEX/INT/LUK/STR+DEX/STR+INT/STR+LUK/DEX+INT/DEX+LUK/INT+LUK/最大 HP/最大 MP/穿戴等級減少/防禦力/攻擊力/魔力/移動速度/跳躍力/全屬性%,,,,,,,
,,,,,,,,
武器攻擊力/魔法攻擊力加成比例 % 及其他固定/特殊屬性,,,,,,,,
,,,,,,,,
【武器攻擊力 / 魔法攻擊力增加 % (一般裝備)】,,,,,,,,
裝備等級,等級1,等級2,等級3,等級4,等級5,等級6,等級7,
200 - 239,7.50%,15.00%,22.50%,33.75%,45.00%,52.50%,60.00%,
240 - 250,8.75%,17.50%,26.25%,39.375%,52.50%,61.25%,70.00%,
,,,,,,,,
【武器攻擊力 / 魔法攻擊力增加 % (高級裝備)】,,,,,,,,
裝備等級,等級1,等級2,等級3,等級4,等級5,等級6,等級7,
200 - 239,6.00%,12.00%,18.00%,27.00%,36.00%,48.00%,61.50%,
240 - 250,7.00%,14.00%,21.00%,31.50%,42.00%,56.00%,70.00%,
,,,,,,,,
【防具攻擊力 / 固定值與特殊百分比屬性】,,,,,,,,
屬性項目,適用對象,等級1,等級2,等級3,等級4,等級5,等級6,等級7
防具攻擊力 / 魔法攻擊力,防具 (不看等級固定),1,2,3,4,5,6,7
移動速度,防具/飾品 (固定值),1,2,3,4,5,6,7
跳躍力,防具/飾品 (固定值),1,2,3,4,5,6,7
全屬性增加 %,全裝備 (固定值),1%,2%,3%,4%,5%,6%,7%
攻擊 BOSS 時總傷害 %,武器專屬,2%,4%,6%,8%,10%,12%,14%
總傷害增加 %,武器專屬,1%,2%,3%,4%,5%,6%,7%
裝備需求等級降低,全裝備,-5,-10,-15,-20,-25,-30,-35
,,,,,,,,
單一主屬性 / 雙條主屬性 / 防禦力 / HP&MP 數值對照表,,,,,,,,
,,,,,,,,
"【單一主屬性 (STR, DEX, INT, LUK)】",,,,,,,,
裝備等級,等級1,等級2,等級3,等級4,等級5,等級6,等級7,
160 - 179,9,18,27,36,45,54,63,
180 - 199,10,20,30,40,50,60,70,
200 - 219,11,22,33,44,55,66,77,
220 - 239,12,24,36,48,60,72,84,
240 - 250,13,26,39,52,65,78,91,
,,,,,,,,
"【複合主屬性 (如 STR+30, LUK+30 算 1 條附加屬性)】",,,,,,,,
裝備等級,等級1,等級2,等級3,等級4,等級5,等級6,等級7,
160 - 199,5,10,15,20,25,30,35,
200 - 239,6,12,18,24,30,36,42,
240 - 250,7,14,21,28,35,42,49,
,,,,,,,,
【防禦力】,,,,,,,,
裝備等級,等級1,等級2,等級3,等級4,等級5,等級6,等級7,
160 - 179,9,18,27,36,45,54,63,
180 - 199,10,20,30,40,50,60,70,
200 - 219,11,22,33,44,55,66,77,
220 - 239,12,24,36,48,60,72,84,
240 - 250,13,26,39,52,65,78,91,
,,,,,,,,
【HP上限 / MP上限】,,,,,,,,
裝備等級,等級1,等級2,等級3,等級4,等級5,等級6,等級7,
160 - 169,480,960,1440,1920,2400,2880,3360,
170 - 179,510,1020,1530,2040,2550,3060,3570,
180 - 189,540,1080,1620,2160,2700,3240,3780,
190 - 199,570,1140,1710,2280,2850,3420,3990,
200 - 209,600,1200,1800,2400,3000,3600,4200,
210 - 219,630,1260,1890,2520,3150,3780,4410,
220 - 229,660,1320,1980,2640,3300,3960,4620,
230 - 239,690,1380,2070,2760,3450,4140,4830,
240 - 249,720,1440,2160,2880,3600,4320,5040,
250,750,1500,2250,3000,3750,4500,5250,
